"sigma","tpr","fpr","noise","freq","nr_transition_days","window_size_days","nr_baselinedays","ews"
3.5,0.032,0.024,8,90,50,10,100,"Kurtosis"
3.75,0.02,0.024,8,90,50,10,100,"Kurtosis"
4,0.006,0.018,8,90,50,10,100,"Kurtosis"
4.25,0.006,0.014,8,90,50,10,100,"Kurtosis"
4.5,0.006,0.012,8,90,50,10,100,"Kurtosis"
4.75,0.006,0.008,8,90,50,10,100,"Kurtosis"
5,0.006,0.008,8,90,50,10,100,"Kurtosis"
5.25,0.006,0.006,8,90,50,10,100,"Kurtosis"
5.5,0.004,0.004,8,90,50,10,100,"Kurtosis"
5.75,0.002,0.002,8,90,50,10,100,"Kurtosis"
6,0.002,0.002,8,90,50,10,100,"Kurtosis"
0.25,0.666,0.63,10,90,50,10,100,"Kurtosis"
0.5,0.532,0.518,10,90,50,10,100,"Kurtosis"
0.75,0.414,0.416,10,90,50,10,100,"Kurtosis"
1,0.338,0.316,10,90,50,10,100,"Kurtosis"
1.25,0.268,0.244,10,90,50,10,100,"Kurtosis"
1.5,0.204,0.19,10,90,50,10,100,"Kurtosis"
1.75,0.154,0.16,10,90,50,10,100,"Kurtosis"
2,0.13,0.11,10,90,50,10,100,"Kurtosis"
2.25,0.098,0.09,10,90,50,10,100,"Kurtosis"
2.5,0.068,0.062,10,90,50,10,100,"Kurtosis"
2.75,0.046,0.044,10,90,50,10,100,"Kurtosis"
3,0.026,0.036,10,90,50,10,100,"Kurtosis"
3.25,0.018,0.02,10,90,50,10,100,"Kurtosis"
3.5,0.014,0.018,10,90,50,10,100,"Kurtosis"
3.75,0.01,0.008,10,90,50,10,100,"Kurtosis"
4,0.008,0.004,10,90,50,10,100,"Kurtosis"
4.25,0.008,0.004,10,90,50,10,100,"Kurtosis"
4.5,0.006,0.002,10,90,50,10,100,"Kurtosis"
4.75,0.004,0,10,90,50,10,100,"Kurtosis"
5,0.004,0,10,90,50,10,100,"Kurtosis"
5.25,0.002,0,10,90,50,10,100,"Kurtosis"
5.5,0,0,10,90,50,10,100,"Kurtosis"
5.75,0,0,10,90,50,10,100,"Kurtosis"
6,0,0,10,90,50,10,100,"Kurtosis"
0.25,0.806,0.666,4,9,10,25,100,"Kurtosis"
0.5,0.754,0.58,4,9,10,25,100,"Kurtosis"
0.75,0.694,0.522,4,9,10,25,100,"Kurtosis"
1,0.636,0.448,4,9,10,25,100,"Kurtosis"
1.25,0.584,0.366,4,9,10,25,100,"Kurtosis"
1.5,0.528,0.312,4,9,10,25,100,"Kurtosis"
1.75,0.466,0.262,4,9,10,25,100,"Kurtosis"
2,0.404,0.198,4,9,10,25,100,"Kurtosis"
2.25,0.364,0.146,4,9,10,25,100,"Kurtosis"
2.5,0.308,0.104,4,9,10,25,100,"Kurtosis"
2.75,0.258,0.066,4,9,10,25,100,"Kurtosis"
3,0.214,0.05,4,9,10,25,100,"Kurtosis"
3.25,0.178,0.032,4,9,10,25,100,"Kurtosis"
3.5,0.134,0.018,4,9,10,25,100,"Kurtosis"
3.75,0.11,0.012,4,9,10,25,100,"Kurtosis"
4,0.09,0.012,4,9,10,25,100,"Kurtosis"
4.25,0.082,0.012,4,9,10,25,100,"Kurtosis"
4.5,0.07,0.008,4,9,10,25,100,"Kurtosis"
4.75,0.06,0.008,4,9,10,25,100,"Kurtosis"
5,0.046,0.006,4,9,10,25,100,"Kurtosis"
5.25,0.038,0.004,4,9,10,25,100,"Kurtosis"
5.5,0.03,0.002,4,9,10,25,100,"Kurtosis"
5.75,0.024,0.002,4,9,10,25,100,"Kurtosis"
6,0.02,0.002,4,9,10,25,100,"Kurtosis"
0.25,0.626,0.7,6,9,10,25,100,"Kurtosis"
0.5,0.552,0.61,6,9,10,25,100,"Kurtosis"
0.75,0.478,0.536,6,9,10,25,100,"Kurtosis"
1,0.41,0.458,6,9,10,25,100,"Kurtosis"
1.25,0.342,0.406,6,9,10,25,100,"Kurtosis"
1.5,0.312,0.346,6,9,10,25,100,"Kurtosis"
1.75,0.266,0.264,6,9,10,25,100,"Kurtosis"
2,0.226,0.226,6,9,10,25,100,"Kurtosis"
2.25,0.182,0.182,6,9,10,25,100,"Kurtosis"
2.5,0.136,0.154,6,9,10,25,100,"Kurtosis"
2.75,0.114,0.118,6,9,10,25,100,"Kurtosis"
3,0.09,0.1,6,9,10,25,100,"Kurtosis"
3.25,0.076,0.082,6,9,10,25,100,"Kurtosis"
3.5,0.052,0.074,6,9,10,25,100,"Kurtosis"
3.75,0.038,0.064,6,9,10,25,100,"Kurtosis"
4,0.028,0.056,6,9,10,25,100,"Kurtosis"
4.25,0.02,0.038,6,9,10,25,100,"Kurtosis"
4.5,0.016,0.026,6,9,10,25,100,"Kurtosis"
4.75,0.016,0.022,6,9,10,25,100,"Kurtosis"
5,0.014,0.02,6,9,10,25,100,"Kurtosis"
5.25,0.012,0.014,6,9,10,25,100,"Kurtosis"
5.5,0.01,0.012,6,9,10,25,100,"Kurtosis"
5.75,0.01,0.012,6,9,10,25,100,"Kurtosis"
6,0.01,0.01,6,9,10,25,100,"Kurtosis"
0.25,0.578,0.644,8,9,10,25,100,"Kurtosis"
0.5,0.514,0.566,8,9,10,25,100,"Kurtosis"
0.75,0.45,0.49,8,9,10,25,100,"Kurtosis"
1,0.378,0.432,8,9,10,25,100,"Kurtosis"
1.25,0.316,0.376,8,9,10,25,100,"Kurtosis"
1.5,0.268,0.312,8,9,10,25,100,"Kurtosis"
1.75,0.218,0.272,8,9,10,25,100,"Kurtosis"
2,0.178,0.232,8,9,10,25,100,"Kurtosis"
2.25,0.146,0.19,8,9,10,25,100,"Kurtosis"
2.5,0.102,0.148,8,9,10,25,100,"Kurtosis"
2.75,0.078,0.118,8,9,10,25,100,"Kurtosis"
3,0.056,0.106,8,9,10,25,100,"Kurtosis"
3.25,0.046,0.096,8,9,10,25,100,"Kurtosis"
3.5,0.038,0.07,8,9,10,25,100,"Kurtosis"
3.75,0.034,0.058,8,9,10,25,100,"Kurtosis"
4,0.032,0.056,8,9,10,25,100,"Kurtosis"
4.25,0.028,0.048,8,9,10,25,100,"Kurtosis"
4.5,0.02,0.038,8,9,10,25,100,"Kurtosis"
4.75,0.018,0.026,8,9,10,25,100,"Kurtosis"
5,0.018,0.018,8,9,10,25,100,"Kurtosis"
5.25,0.014,0.018,8,9,10,25,100,"Kurtosis"
5.5,0.01,0.016,8,9,10,25,100,"Kurtosis"
5.75,0.01,0.01,8,9,10,25,100,"Kurtosis"
6,0.01,0.008,8,9,10,25,100,"Kurtosis"
0.25,0.53,0.64,10,9,10,25,100,"Kurtosis"
0.5,0.472,0.568,10,9,10,25,100,"Kurtosis"
0.75,0.398,0.486,10,9,10,25,100,"Kurtosis"
1,0.336,0.436,10,9,10,25,100,"Kurtosis"
1.25,0.294,0.366,10,9,10,25,100,"Kurtosis"
1.5,0.246,0.308,10,9,10,25,100,"Kurtosis"
1.75,0.214,0.256,10,9,10,25,100,"Kurtosis"
2,0.17,0.208,10,9,10,25,100,"Kurtosis"
2.25,0.152,0.182,10,9,10,25,100,"Kurtosis"
2.5,0.118,0.142,10,9,10,25,100,"Kurtosis"
2.75,0.088,0.114,10,9,10,25,100,"Kurtosis"
3,0.07,0.092,10,9,10,25,100,"Kurtosis"
3.25,0.054,0.072,10,9,10,25,100,"Kurtosis"
3.5,0.044,0.054,10,9,10,25,100,"Kurtosis"
3.75,0.036,0.042,10,9,10,25,100,"Kurtosis"
4,0.032,0.038,10,9,10,25,100,"Kurtosis"
4.25,0.026,0.032,10,9,10,25,100,"Kurtosis"
4.5,0.02,0.032,10,9,10,25,100,"Kurtosis"
4.75,0.016,0.024,10,9,10,25,100,"Kurtosis"
5,0.01,0.024,10,9,10,25,100,"Kurtosis"
5.25,0.008,0.022,10,9,10,25,100,"Kurtosis"
5.5,0.008,0.018,10,9,10,25,100,"Kurtosis"
5.75,0.008,0.018,10,9,10,25,100,"Kurtosis"
6,0.008,0.016,10,9,10,25,100,"Kurtosis"
0.25,0.754,0.674,4,18,10,25,100,"Kurtosis"
0.5,0.696,0.578,4,18,10,25,100,"Kurtosis"
0.75,0.644,0.48,4,18,10,25,100,"Kurtosis"
1,0.58,0.42,4,18,10,25,100,"Kurtosis"
1.25,0.52,0.37,4,18,10,25,100,"Kurtosis"
1.5,0.436,0.302,4,18,10,25,100,"Kurtosis"
1.75,0.384,0.24,4,18,10,25,100,"Kurtosis"
2,0.328,0.192,4,18,10,25,100,"Kurtosis"
2.25,0.278,0.156,4,18,10,25,100,"Kurtosis"
2.5,0.214,0.118,4,18,10,25,100,"Kurtosis"
2.75,0.18,0.092,4,18,10,25,100,"Kurtosis"
3,0.152,0.07,4,18,10,25,100,"Kurtosis"
3.25,0.126,0.062,4,18,10,25,100,"Kurtosis"
3.5,0.102,0.05,4,18,10,25,100,"Kurtosis"
3.75,0.086,0.036,4,18,10,25,100,"Kurtosis"
4,0.068,0.018,4,18,10,25,100,"Kurtosis"
4.25,0.052,0.012,4,18,10,25,100,"Kurtosis"
4.5,0.048,0.01,4,18,10,25,100,"Kurtosis"
4.75,0.042,0.008,4,18,10,25,100,"Kurtosis"
5,0.036,0.008,4,18,10,25,100,"Kurtosis"
5.25,0.032,0.006,4,18,10,25,100,"Kurtosis"
5.5,0.03,0.004,4,18,10,25,100,"Kurtosis"
5.75,0.022,0.004,4,18,10,25,100,"Kurtosis"
6,0.018,0.002,4,18,10,25,100,"Kurtosis"
0.25,0.586,0.678,6,18,10,25,100,"Kurtosis"
0.5,0.526,0.606,6,18,10,25,100,"Kurtosis"
0.75,0.448,0.532,6,18,10,25,100,"Kurtosis"
1,0.39,0.446,6,18,10,25,100,"Kurtosis"
1.25,0.322,0.388,6,18,10,25,100,"Kurtosis"
1.5,0.266,0.32,6,18,10,25,100,"Kurtosis"
1.75,0.204,0.262,6,18,10,25,100,"Kurtosis"
2,0.168,0.214,6,18,10,25,100,"Kurtosis"
2.25,0.148,0.168,6,18,10,25,100,"Kurtosis"
2.5,0.116,0.124,6,18,10,25,100,"Kurtosis"
2.75,0.082,0.1,6,18,10,25,100,"Kurtosis"
3,0.068,0.092,6,18,10,25,100,"Kurtosis"
3.25,0.056,0.082,6,18,10,25,100,"Kurtosis"
3.5,0.044,0.07,6,18,10,25,100,"Kurtosis"
3.75,0.038,0.062,6,18,10,25,100,"Kurtosis"
4,0.034,0.054,6,18,10,25,100,"Kurtosis"
4.25,0.034,0.042,6,18,10,25,100,"Kurtosis"
4.5,0.03,0.034,6,18,10,25,100,"Kurtosis"
4.75,0.02,0.02,6,18,10,25,100,"Kurtosis"
5,0.018,0.02,6,18,10,25,100,"Kurtosis"
5.25,0.012,0.016,6,18,10,25,100,"Kurtosis"
5.5,0.01,0.016,6,18,10,25,100,"Kurtosis"
5.75,0.01,0.012,6,18,10,25,100,"Kurtosis"
6,0.008,0.01,6,18,10,25,100,"Kurtosis"
0.25,0.552,0.646,8,18,10,25,100,"Kurtosis"
0.5,0.474,0.574,8,18,10,25,100,"Kurtosis"
0.75,0.422,0.52,8,18,10,25,100,"Kurtosis"
1,0.354,0.456,8,18,10,25,100,"Kurtosis"
1.25,0.316,0.372,8,18,10,25,100,"Kurtosis"
1.5,0.27,0.312,8,18,10,25,100,"Kurtosis"
1.75,0.216,0.26,8,18,10,25,100,"Kurtosis"
2,0.164,0.218,8,18,10,25,100,"Kurtosis"
2.25,0.122,0.19,8,18,10,25,100,"Kurtosis"
2.5,0.096,0.15,8,18,10,25,100,"Kurtosis"
2.75,0.084,0.122,8,18,10,25,100,"Kurtosis"
3,0.068,0.092,8,18,10,25,100,"Kurtosis"
3.25,0.06,0.076,8,18,10,25,100,"Kurtosis"
3.5,0.048,0.062,8,18,10,25,100,"Kurtosis"
3.75,0.04,0.056,8,18,10,25,100,"Kurtosis"
4,0.038,0.05,8,18,10,25,100,"Kurtosis"
4.25,0.03,0.044,8,18,10,25,100,"Kurtosis"
4.5,0.028,0.038,8,18,10,25,100,"Kurtosis"
4.75,0.02,0.028,8,18,10,25,100,"Kurtosis"
5,0.014,0.024,8,18,10,25,100,"Kurtosis"
5.25,0.008,0.024,8,18,10,25,100,"Kurtosis"
5.5,0.006,0.018,8,18,10,25,100,"Kurtosis"
5.75,0.004,0.016,8,18,10,25,100,"Kurtosis"
6,0.004,0.016,8,18,10,25,100,"Kurtosis"
0.25,0.508,0.652,10,18,10,25,100,"Kurtosis"
0.5,0.44,0.566,10,18,10,25,100,"Kurtosis"
0.75,0.382,0.496,10,18,10,25,100,"Kurtosis"
1,0.342,0.442,10,18,10,25,100,"Kurtosis"
1.25,0.3,0.382,10,18,10,25,100,"Kurtosis"
1.5,0.248,0.312,10,18,10,25,100,"Kurtosis"
1.75,0.172,0.262,10,18,10,25,100,"Kurtosis"
2,0.138,0.208,10,18,10,25,100,"Kurtosis"
2.25,0.108,0.162,10,18,10,25,100,"Kurtosis"
2.5,0.092,0.134,10,18,10,25,100,"Kurtosis"
2.75,0.074,0.106,10,18,10,25,100,"Kurtosis"
3,0.052,0.08,10,18,10,25,100,"Kurtosis"
3.25,0.048,0.066,10,18,10,25,100,"Kurtosis"
3.5,0.032,0.054,10,18,10,25,100,"Kurtosis"
3.75,0.03,0.04,10,18,10,25,100,"Kurtosis"
4,0.026,0.028,10,18,10,25,100,"Kurtosis"
4.25,0.022,0.024,10,18,10,25,100,"Kurtosis"
4.5,0.02,0.022,10,18,10,25,100,"Kurtosis"
4.75,0.018,0.02,10,18,10,25,100,"Kurtosis"
5,0.008,0.016,10,18,10,25,100,"Kurtosis"
5.25,0.006,0.012,10,18,10,25,100,"Kurtosis"
5.5,0.004,0.012,10,18,10,25,100,"Kurtosis"
5.75,0.002,0.01,10,18,10,25,100,"Kurtosis"
6,0.002,0.008,10,18,10,25,100,"Kurtosis"
0.25,0.696,0.634,4,90,10,25,100,"Kurtosis"
0.5,0.622,0.546,4,90,10,25,100,"Kurtosis"
0.75,0.55,0.468,4,90,10,25,100,"Kurtosis"
1,0.482,0.404,4,90,10,25,100,"Kurtosis"
1.25,0.418,0.35,4,90,10,25,100,"Kurtosis"
1.5,0.35,0.31,4,90,10,25,100,"Kurtosis"
1.75,0.296,0.258,4,90,10,25,100,"Kurtosis"
2,0.258,0.226,4,90,10,25,100,"Kurtosis"
2.25,0.214,0.192,4,90,10,25,100,"Kurtosis"
2.5,0.182,0.158,4,90,10,25,100,"Kurtosis"
2.75,0.152,0.136,4,90,10,25,100,"Kurtosis"
3,0.134,0.116,4,90,10,25,100,"Kurtosis"
3.25,0.11,0.096,4,90,10,25,100,"Kurtosis"
3.5,0.082,0.088,4,90,10,25,100,"Kurtosis"
3.75,0.066,0.08,4,90,10,25,100,"Kurtosis"
4,0.052,0.06,4,90,10,25,100,"Kurtosis"
4.25,0.04,0.05,4,90,10,25,100,"Kurtosis"
4.5,0.032,0.048,4,90,10,25,100,"Kurtosis"
4.75,0.02,0.038,4,90,10,25,100,"Kurtosis"
5,0.018,0.032,4,90,10,25,100,"Kurtosis"
5.25,0.018,0.018,4,90,10,25,100,"Kurtosis"
5.5,0.016,0.014,4,90,10,25,100,"Kurtosis"
5.75,0.012,0.012,4,90,10,25,100,"Kurtosis"
6,0.012,0.012,4,90,10,25,100,"Kurtosis"
0.25,0.564,0.626,6,90,10,25,100,"Kurtosis"
0.5,0.498,0.554,6,90,10,25,100,"Kurtosis"
0.75,0.444,0.486,6,90,10,25,100,"Kurtosis"
1,0.392,0.416,6,90,10,25,100,"Kurtosis"
1.25,0.344,0.364,6,90,10,25,100,"Kurtosis"
1.5,0.304,0.31,6,90,10,25,100,"Kurtosis"
1.75,0.258,0.26,6,90,10,25,100,"Kurtosis"
2,0.216,0.206,6,90,10,25,100,"Kurtosis"
2.25,0.182,0.164,6,90,10,25,100,"Kurtosis"
2.5,0.142,0.148,6,90,10,25,100,"Kurtosis"
2.75,0.116,0.122,6,90,10,25,100,"Kurtosis"
3,0.102,0.104,6,90,10,25,100,"Kurtosis"
3.25,0.08,0.086,6,90,10,25,100,"Kurtosis"
3.5,0.066,0.082,6,90,10,25,100,"Kurtosis"
3.75,0.05,0.068,6,90,10,25,100,"Kurtosis"
4,0.04,0.062,6,90,10,25,100,"Kurtosis"
4.25,0.032,0.056,6,90,10,25,100,"Kurtosis"
4.5,0.028,0.042,6,90,10,25,100,"Kurtosis"
4.75,0.022,0.04,6,90,10,25,100,"Kurtosis"
5,0.02,0.034,6,90,10,25,100,"Kurtosis"
5.25,0.018,0.026,6,90,10,25,100,"Kurtosis"
5.5,0.014,0.026,6,90,10,25,100,"Kurtosis"
5.75,0.01,0.024,6,90,10,25,100,"Kurtosis"
6,0.006,0.02,6,90,10,25,100,"Kurtosis"
0.25,0.522,0.65,8,90,10,25,100,"Kurtosis"
0.5,0.45,0.554,8,90,10,25,100,"Kurtosis"
0.75,0.366,0.484,8,90,10,25,100,"Kurtosis"
1,0.312,0.424,8,90,10,25,100,"Kurtosis"
1.25,0.26,0.364,8,90,10,25,100,"Kurtosis"
1.5,0.22,0.308,8,90,10,25,100,"Kurtosis"
1.75,0.19,0.254,8,90,10,25,100,"Kurtosis"
2,0.166,0.202,8,90,10,25,100,"Kurtosis"
2.25,0.144,0.168,8,90,10,25,100,"Kurtosis"
2.5,0.108,0.144,8,90,10,25,100,"Kurtosis"
2.75,0.086,0.126,8,90,10,25,100,"Kurtosis"
3,0.082,0.112,8,90,10,25,100,"Kurtosis"
3.25,0.062,0.09,8,90,10,25,100,"Kurtosis"
3.5,0.05,0.078,8,90,10,25,100,"Kurtosis"
3.75,0.04,0.062,8,90,10,25,100,"Kurtosis"
4,0.024,0.046,8,90,10,25,100,"Kurtosis"
4.25,0.016,0.034,8,90,10,25,100,"Kurtosis"
4.5,0.012,0.03,8,90,10,25,100,"Kurtosis"
4.75,0.01,0.026,8,90,10,25,100,"Kurtosis"
5,0.01,0.024,8,90,10,25,100,"Kurtosis"
5.25,0.008,0.02,8,90,10,25,100,"Kurtosis"
5.5,0.006,0.014,8,90,10,25,100,"Kurtosis"
5.75,0.006,0.01,8,90,10,25,100,"Kurtosis"
6,0.006,0.008,8,90,10,25,100,"Kurtosis"
0.25,0.522,0.65,10,90,10,25,100,"Kurtosis"
0.5,0.446,0.54,10,90,10,25,100,"Kurtosis"
0.75,0.376,0.476,10,90,10,25,100,"Kurtosis"
1,0.31,0.394,10,90,10,25,100,"Kurtosis"
1.25,0.274,0.334,10,90,10,25,100,"Kurtosis"
1.5,0.21,0.264,10,90,10,25,100,"Kurtosis"
1.75,0.174,0.226,10,90,10,25,100,"Kurtosis"
2,0.146,0.204,10,90,10,25,100,"Kurtosis"
2.25,0.124,0.172,10,90,10,25,100,"Kurtosis"
2.5,0.094,0.154,10,90,10,25,100,"Kurtosis"
2.75,0.076,0.126,10,90,10,25,100,"Kurtosis"
3,0.066,0.1,10,90,10,25,100,"Kurtosis"
3.25,0.046,0.084,10,90,10,25,100,"Kurtosis"
3.5,0.038,0.07,10,90,10,25,100,"Kurtosis"
3.75,0.03,0.052,10,90,10,25,100,"Kurtosis"
4,0.022,0.042,10,90,10,25,100,"Kurtosis"
4.25,0.018,0.038,10,90,10,25,100,"Kurtosis"
4.5,0.01,0.032,10,90,10,25,100,"Kurtosis"
4.75,0.01,0.026,10,90,10,25,100,"Kurtosis"
5,0.01,0.024,10,90,10,25,100,"Kurtosis"
5.25,0.01,0.018,10,90,10,25,100,"Kurtosis"
5.5,0.01,0.012,10,90,10,25,100,"Kurtosis"
5.75,0.006,0.008,10,90,10,25,100,"Kurtosis"
6,0.004,0.008,10,90,10,25,100,"Kurtosis"
0.25,0.656,0.666,4,9,25,25,100,"Kurtosis"
0.5,0.594,0.58,4,9,25,25,100,"Kurtosis"
0.75,0.502,0.522,4,9,25,25,100,"Kurtosis"
1,0.434,0.448,4,9,25,25,100,"Kurtosis"
1.25,0.37,0.366,4,9,25,25,100,"Kurtosis"
1.5,0.318,0.312,4,9,25,25,100,"Kurtosis"
1.75,0.266,0.262,4,9,25,25,100,"Kurtosis"
2,0.212,0.198,4,9,25,25,100,"Kurtosis"
2.25,0.168,0.146,4,9,25,25,100,"Kurtosis"
2.5,0.128,0.104,4,9,25,25,100,"Kurtosis"
2.75,0.106,0.066,4,9,25,25,100,"Kurtosis"
3,0.09,0.05,4,9,25,25,100,"Kurtosis"
3.25,0.076,0.032,4,9,25,25,100,"Kurtosis"
3.5,0.072,0.018,4,9,25,25,100,"Kurtosis"
3.75,0.058,0.012,4,9,25,25,100,"Kurtosis"
4,0.042,0.012,4,9,25,25,100,"Kurtosis"
4.25,0.034,0.012,4,9,25,25,100,"Kurtosis"
4.5,0.032,0.008,4,9,25,25,100,"Kurtosis"
4.75,0.022,0.008,4,9,25,25,100,"Kurtosis"
5,0.022,0.006,4,9,25,25,100,"Kurtosis"
5.25,0.016,0.004,4,9,25,25,100,"Kurtosis"
5.5,0.014,0.002,4,9,25,25,100,"Kurtosis"
5.75,0.01,0.002,4,9,25,25,100,"Kurtosis"
6,0.01,0.002,4,9,25,25,100,"Kurtosis"
0.25,0.634,0.7,6,9,25,25,100,"Kurtosis"
0.5,0.556,0.61,6,9,25,25,100,"Kurtosis"
0.75,0.5,0.536,6,9,25,25,100,"Kurtosis"
1,0.438,0.458,6,9,25,25,100,"Kurtosis"
1.25,0.366,0.406,6,9,25,25,100,"Kurtosis"
1.5,0.322,0.346,6,9,25,25,100,"Kurtosis"
1.75,0.282,0.264,6,9,25,25,100,"Kurtosis"
2,0.228,0.226,6,9,25,25,100,"Kurtosis"
2.25,0.19,0.182,6,9,25,25,100,"Kurtosis"
2.5,0.154,0.154,6,9,25,25,100,"Kurtosis"
2.75,0.108,0.118,6,9,25,25,100,"Kurtosis"
3,0.092,0.1,6,9,25,25,100,"Kurtosis"
3.25,0.082,0.082,6,9,25,25,100,"Kurtosis"
3.5,0.068,0.074,6,9,25,25,100,"Kurtosis"
3.75,0.058,0.064,6,9,25,25,100,"Kurtosis"
4,0.048,0.056,6,9,25,25,100,"Kurtosis"
4.25,0.036,0.038,6,9,25,25,100,"Kurtosis"
4.5,0.03,0.026,6,9,25,25,100,"Kurtosis"
4.75,0.026,0.022,6,9,25,25,100,"Kurtosis"
5,0.024,0.02,6,9,25,25,100,"Kurtosis"
5.25,0.018,0.014,6,9,25,25,100,"Kurtosis"
5.5,0.016,0.012,6,9,25,25,100,"Kurtosis"
5.75,0.014,0.012,6,9,25,25,100,"Kurtosis"
6,0.012,0.01,6,9,25,25,100,"Kurtosis"
0.25,0.624,0.644,8,9,25,25,100,"Kurtosis"
0.5,0.546,0.566,8,9,25,25,100,"Kurtosis"
0.75,0.464,0.49,8,9,25,25,100,"Kurtosis"
1,0.414,0.432,8,9,25,25,100,"Kurtosis"
1.25,0.356,0.376,8,9,25,25,100,"Kurtosis"
1.5,0.296,0.312,8,9,25,25,100,"Kurtosis"
1.75,0.262,0.272,8,9,25,25,100,"Kurtosis"
2,0.214,0.232,8,9,25,25,100,"Kurtosis"
2.25,0.176,0.19,8,9,25,25,100,"Kurtosis"
2.5,0.144,0.148,8,9,25,25,100,"Kurtosis"
2.75,0.126,0.118,8,9,25,25,100,"Kurtosis"
3,0.108,0.106,8,9,25,25,100,"Kurtosis"
3.25,0.096,0.096,8,9,25,25,100,"Kurtosis"
3.5,0.082,0.07,8,9,25,25,100,"Kurtosis"
3.75,0.074,0.058,8,9,25,25,100,"Kurtosis"
4,0.06,0.056,8,9,25,25,100,"Kurtosis"
4.25,0.046,0.048,8,9,25,25,100,"Kurtosis"
4.5,0.032,0.038,8,9,25,25,100,"Kurtosis"
4.75,0.028,0.026,8,9,25,25,100,"Kurtosis"
5,0.028,0.018,8,9,25,25,100,"Kurtosis"
5.25,0.024,0.018,8,9,25,25,100,"Kurtosis"
5.5,0.016,0.016,8,9,25,25,100,"Kurtosis"
5.75,0.014,0.01,8,9,25,25,100,"Kurtosis"
6,0.01,0.008,8,9,25,25,100,"Kurtosis"
0.25,0.602,0.64,10,9,25,25,100,"Kurtosis"
0.5,0.536,0.568,10,9,25,25,100,"Kurtosis"
0.75,0.474,0.486,10,9,25,25,100,"Kurtosis"
1,0.406,0.436,10,9,25,25,100,"Kurtosis"
1.25,0.352,0.366,10,9,25,25,100,"Kurtosis"
1.5,0.3,0.308,10,9,25,25,100,"Kurtosis"
1.75,0.258,0.256,10,9,25,25,100,"Kurtosis"
2,0.206,0.208,10,9,25,25,100,"Kurtosis"
2.25,0.168,0.182,10,9,25,25,100,"Kurtosis"
2.5,0.132,0.142,10,9,25,25,100,"Kurtosis"
2.75,0.108,0.114,10,9,25,25,100,"Kurtosis"
3,0.086,0.092,10,9,25,25,100,"Kurtosis"
3.25,0.068,0.072,10,9,25,25,100,"Kurtosis"
3.5,0.06,0.054,10,9,25,25,100,"Kurtosis"
3.75,0.046,0.042,10,9,25,25,100,"Kurtosis"
4,0.038,0.038,10,9,25,25,100,"Kurtosis"
4.25,0.03,0.032,10,9,25,25,100,"Kurtosis"
4.5,0.02,0.032,10,9,25,25,100,"Kurtosis"
4.75,0.016,0.024,10,9,25,25,100,"Kurtosis"
5,0.016,0.024,10,9,25,25,100,"Kurtosis"
5.25,0.014,0.022,10,9,25,25,100,"Kurtosis"
5.5,0.012,0.018,10,9,25,25,100,"Kurtosis"
5.75,0.01,0.018,10,9,25,25,100,"Kurtosis"
6,0.006,0.016,10,9,25,25,100,"Kurtosis"
0.25,0.69,0.674,4,18,25,25,100,"Kurtosis"
0.5,0.6,0.578,4,18,25,25,100,"Kurtosis"
0.75,0.52,0.48,4,18,25,25,100,"Kurtosis"
1,0.416,0.42,4,18,25,25,100,"Kurtosis"
1.25,0.35,0.37,4,18,25,25,100,"Kurtosis"
1.5,0.306,0.302,4,18,25,25,100,"Kurtosis"
1.75,0.258,0.24,4,18,25,25,100,"Kurtosis"
2,0.202,0.192,4,18,25,25,100,"Kurtosis"
2.25,0.17,0.156,4,18,25,25,100,"Kurtosis"
2.5,0.13,0.118,4,18,25,25,100,"Kurtosis"
2.75,0.114,0.092,4,18,25,25,100,"Kurtosis"
3,0.088,0.07,4,18,25,25,100,"Kurtosis"
3.25,0.054,0.062,4,18,25,25,100,"Kurtosis"
3.5,0.036,0.05,4,18,25,25,100,"Kurtosis"
3.75,0.024,0.036,4,18,25,25,100,"Kurtosis"
4,0.02,0.018,4,18,25,25,100,"Kurtosis"
4.25,0.016,0.012,4,18,25,25,100,"Kurtosis"
4.5,0.014,0.01,4,18,25,25,100,"Kurtosis"
4.75,0.01,0.008,4,18,25,25,100,"Kurtosis"
5,0.01,0.008,4,18,25,25,100,"Kurtosis"
5.25,0.01,0.006,4,18,25,25,100,"Kurtosis"
5.5,0.01,0.004,4,18,25,25,100,"Kurtosis"
5.75,0.008,0.004,4,18,25,25,100,"Kurtosis"
6,0.008,0.002,4,18,25,25,100,"Kurtosis"
0.25,0.616,0.678,6,18,25,25,100,"Kurtosis"
0.5,0.54,0.606,6,18,25,25,100,"Kurtosis"
0.75,0.458,0.532,6,18,25,25,100,"Kurtosis"
1,0.394,0.446,6,18,25,25,100,"Kurtosis"
1.25,0.334,0.388,6,18,25,25,100,"Kurtosis"
1.5,0.282,0.32,6,18,25,25,100,"Kurtosis"
1.75,0.222,0.262,6,18,25,25,100,"Kurtosis"
2,0.192,0.214,6,18,25,25,100,"Kurtosis"
2.25,0.15,0.168,6,18,25,25,100,"Kurtosis"
2.5,0.12,0.124,6,18,25,25,100,"Kurtosis"
2.75,0.088,0.1,6,18,25,25,100,"Kurtosis"
3,0.072,0.092,6,18,25,25,100,"Kurtosis"
3.25,0.05,0.082,6,18,25,25,100,"Kurtosis"
3.5,0.044,0.07,6,18,25,25,100,"Kurtosis"
3.75,0.038,0.062,6,18,25,25,100,"Kurtosis"
